epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1593,3.45019,6.66763,1.52508,0,0,0,0,2.6342,4.90399,1.18022,0.000328571,0.000328571,0.000328571
2,89.6006,2.65228,4.3565,1.11321,0.2885,0.21716,0.16374,0.06663,2.37267,2.78053,1.07526,0.000655352,0.000655352,0.000655352
3,120.032,2.45065,3.31506,1.03285,0.32024,0.37937,0.31187,0.12036,2.29681,2.20629,1.01667,0.000975532,0.000975532,0.000975532
4,149.306,2.30387,2.79989,1.0112,0.49543,0.4842,0.48487,0.2055,2.02999,1.66124,0.98855,0.0009703,0.0009703,0.0009703
5,179.074,2.25084,2.43061,1.0013,0.54431,0.5103,0.53324,0.23951,1.91733,1.53189,0.96026,0.0009604,0.0009604,0.0009604
6,208.11,2.13514,2.13764,0.98084,0.63069,0.57575,0.6219,0.27475,1.85107,1.47182,0.94766,0.0009505,0.0009505,0.0009505
7,238.208,2.14111,2.01972,0.98174,0.73587,0.58487,0.6732,0.30081,1.92486,1.29888,0.96898,0.0009406,0.0009406,0.0009406
8,267.793,2.10066,1.9045,0.97282,0.70376,0.6462,0.71307,0.33036,1.81773,1.28503,0.94465,0.0009307,0.0009307,0.0009307
9,297.247,2.06788,1.76991,0.96938,0.7938,0.70469,0.76791,0.36168,1.74226,1.1531,0.93168,0.0009208,0.0009208,0.0009208
10,327.029,2.05503,1.71245,0.96339,0.77714,0.68376,0.76526,0.34632,1.80482,1.17869,0.93744,0.0009109,0.0009109,0.0009109
11,356.308,2.00474,1.6094,0.9598,0.79215,0.69145,0.76845,0.35229,1.7752,1.11075,0.93038,0.000901,0.000901,0.000901
12,385.439,1.98516,1.55837,0.94742,0.82946,0.70039,0.78692,0.36792,1.76875,1.09724,0.93091,0.0008911,0.0008911,0.0008911
13,414.965,1.94485,1.46878,0.93991,0.84844,0.75681,0.82161,0.4022,1.7013,1.05341,0.9215,0.0008812,0.0008812,0.0008812
14,444.451,1.91889,1.43251,0.93632,0.85945,0.74522,0.82906,0.40679,1.72787,0.98359,0.92402,0.0008713,0.0008713,0.0008713
15,473.667,1.91471,1.38717,0.93433,0.86017,0.74332,0.82004,0.39856,1.70275,0.99756,0.92309,0.0008614,0.0008614,0.0008614
16,503.309,1.89891,1.36473,0.94166,0.9071,0.77197,0.84852,0.41378,1.69979,0.97256,0.92194,0.0008515,0.0008515,0.0008515
17,531.923,1.88254,1.29676,0.93053,0.91713,0.81485,0.88062,0.42575,1.71923,0.92163,0.92176,0.0008416,0.0008416,0.0008416
18,561.787,1.8939,1.29991,0.92831,0.89821,0.79394,0.87996,0.42184,1.70771,0.94942,0.92118,0.0008317,0.0008317,0.0008317
19,590.773,1.85747,1.27725,0.92273,0.8896,0.79659,0.87581,0.42173,1.69889,0.94997,0.9156,0.0008218,0.0008218,0.0008218
20,620.8,1.84539,1.24062,0.93135,0.91547,0.80503,0.88567,0.43354,1.6403,0.89798,0.91047,0.0008119,0.0008119,0.0008119
21,649.818,1.87323,1.25107,0.92341,0.90419,0.84375,0.89361,0.42316,1.69909,0.90813,0.91032,0.000802,0.000802,0.000802
22,679.536,1.83429,1.20744,0.91966,0.9304,0.84928,0.90864,0.44549,1.66583,0.8735,0.91163,0.0007921,0.0007921,0.0007921
23,708.669,1.79279,1.15317,0.91757,0.91516,0.81146,0.90007,0.44615,1.62759,0.87408,0.90879,0.0007822,0.0007822,0.0007822
24,738.185,1.81575,1.15901,0.91359,0.89268,0.84671,0.90784,0.45448,1.63117,0.87658,0.90305,0.0007723,0.0007723,0.0007723
25,766.932,1.78698,1.15503,0.90948,0.91539,0.84241,0.90152,0.4404,1.66074,0.87741,0.91552,0.0007624,0.0007624,0.0007624
26,796.434,1.78832,1.13732,0.91483,0.91743,0.84947,0.91426,0.44468,1.65557,0.85174,0.90716,0.0007525,0.0007525,0.0007525
27,825.663,1.75183,1.11039,0.90199,0.92542,0.85375,0.89801,0.45551,1.60286,0.85195,0.90386,0.0007426,0.0007426,0.0007426
28,855.457,1.77611,1.08932,0.90806,0.87583,0.8622,0.90172,0.45035,1.64642,0.85492,0.8991,0.0007327,0.0007327,0.0007327
29,884.787,1.73921,1.08923,0.90128,0.92456,0.83208,0.90145,0.4589,1.59312,0.83703,0.89695,0.0007228,0.0007228,0.0007228
30,913.682,1.77018,1.11999,0.898,0.8901,0.86231,0.91357,0.46606,1.60901,0.83424,0.89648,0.0007129,0.0007129,0.0007129
31,942.517,1.74412,1.07208,0.90608,0.93049,0.86412,0.91825,0.45799,1.60174,0.82136,0.89611,0.000703,0.000703,0.000703
32,972.025,1.74475,1.07792,0.89434,0.93279,0.88244,0.92674,0.46847,1.6125,0.82557,0.89899,0.0006931,0.0006931,0.0006931
33,1001.3,1.74477,1.0677,0.90527,0.92444,0.87464,0.92437,0.45901,1.61591,0.82365,0.89291,0.0006832,0.0006832,0.0006832
34,1030.86,1.72104,1.04931,0.8937,0.90565,0.88714,0.9187,0.46371,1.61703,0.81906,0.89844,0.0006733,0.0006733,0.0006733
35,1059.76,1.74786,1.04206,0.89603,0.93996,0.87467,0.92792,0.46552,1.59708,0.79304,0.8931,0.0006634,0.0006634,0.0006634
36,1088.74,1.72159,1.02164,0.89759,0.94404,0.87613,0.92244,0.48638,1.53267,0.76635,0.88579,0.0006535,0.0006535,0.0006535
37,1117.71,1.70667,1.009,0.88688,0.92914,0.89347,0.93278,0.4853,1.55683,0.76179,0.88577,0.0006436,0.0006436,0.0006436
