epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4675,3.53722,6.53826,1.53136,0.00205,0.16091,0.01728,0.00628,2.5875,4.04789,1.13214,0.00330935,0.00330935,0.0702158
2,91.1219,2.70824,3.99869,1.12199,0.23007,0.19445,0.1747,0.06702,2.42705,2.68581,1.06729,0.00657692,0.00657692,0.0401501
3,118.882,2.57842,3.15602,1.07991,0.32462,0.37452,0.29844,0.10677,2.42942,2.48934,1.09042,0.00977849,0.00977849,0.0100183
4,146.081,2.46681,2.76663,1.0556,0.52102,0.40749,0.43563,0.1658,2.25998,2.58118,1.02615,0.009703,0.009703,0.009703
5,173.054,2.35389,2.37571,1.03201,0.46927,0.55684,0.51529,0.21716,2.05036,2.15061,0.99292,0.009604,0.009604,0.009604
6,200.22,2.25158,2.13654,1.00246,0.61452,0.5924,0.60814,0.26066,2.05082,1.56828,0.98055,0.009505,0.009505,0.009505
7,227.405,2.24078,2.00624,1.00885,0.6783,0.59827,0.6389,0.25907,2.00815,1.48235,0.96944,0.009406,0.009406,0.009406
8,254.451,2.17047,1.88129,0.9835,0.77631,0.70334,0.76508,0.34912,1.86939,1.24932,0.95026,0.009307,0.009307,0.009307
9,281.682,2.1436,1.75973,0.98257,0.75703,0.70348,0.74646,0.33154,1.8547,1.29185,0.94713,0.009208,0.009208,0.009208
10,308.997,2.11089,1.6984,0.96919,0.77562,0.70793,0.78614,0.35633,1.856,1.28271,0.93966,0.009109,0.009109,0.009109
11,336.357,2.03917,1.61075,0.96204,0.79285,0.72452,0.79481,0.36838,1.84135,1.19643,0.94583,0.00901,0.00901,0.00901
12,363.67,2.04403,1.5907,0.95899,0.78732,0.72694,0.80061,0.37277,1.85741,1.21384,0.94362,0.008911,0.008911,0.008911
13,390.207,2.02905,1.50926,0.95383,0.81252,0.74608,0.81138,0.36826,1.85721,1.11515,0.95038,0.008812,0.008812,0.008812
14,416.679,2.01445,1.4667,0.95366,0.8591,0.7873,0.85375,0.393,1.81747,1.0809,0.93424,0.008713,0.008713,0.008713
15,444.398,1.95859,1.42113,0.94754,0.87233,0.79375,0.85847,0.4093,1.78536,1.06773,0.93201,0.008614,0.008614,0.008614
