epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.663,3.44952,6.5661,1.53946,3e-05,0.00127,0,0,2.65967,4.43827,1.15838,0.000328571,0.000328571,0.000328571
2,64.5017,2.63002,4.00296,1.10396,0.29406,0.22764,0.19657,0.07295,2.53951,2.39626,1.14611,0.000655352,0.000655352,0.000655352
3,94.3354,2.44377,3.0987,1.0338,0.54799,0.3894,0.40401,0.16975,2.15567,2.08903,1.01614,0.000975532,0.000975532,0.000975532
4,122.785,2.30083,2.67024,1.01546,0.5152,0.49297,0.49613,0.21919,1.99304,1.66596,0.98008,0.0009703,0.0009703,0.0009703
5,150.728,2.23192,2.28274,1.00071,0.66943,0.58214,0.61545,0.26816,1.9356,1.52023,0.96228,0.0009604,0.0009604,0.0009604
6,177.709,2.12447,2.03394,0.98208,0.68926,0.61701,0.65173,0.30536,1.81282,1.50687,0.94139,0.0009505,0.0009505,0.0009505
7,206.04,2.11213,1.92812,0.97576,0.78031,0.66309,0.74923,0.35759,1.76609,1.30332,0.93397,0.0009406,0.0009406,0.0009406
8,234.502,2.104,1.79074,0.97005,0.80805,0.69973,0.77876,0.36515,1.75164,1.19299,0.93171,0.0009307,0.0009307,0.0009307
9,262.824,2.04982,1.66047,0.96806,0.84359,0.70566,0.80275,0.3801,1.72291,1.12995,0.93194,0.0009208,0.0009208,0.0009208
10,289.886,2.01358,1.58928,0.96169,0.83609,0.74148,0.7981,0.37211,1.75241,1.09448,0.92501,0.0009109,0.0009109,0.0009109
11,318.533,1.96155,1.49776,0.95528,0.82261,0.75857,0.81337,0.39124,1.72617,1.07236,0.92112,0.000901,0.000901,0.000901
12,347.448,1.97973,1.47107,0.94245,0.81935,0.73892,0.8023,0.3527,1.84738,1.05573,0.95528,0.0008911,0.0008911,0.0008911
13,375.573,1.93935,1.42783,0.93813,0.8936,0.75737,0.85075,0.40387,1.7029,1.01941,0.91519,0.0008812,0.0008812,0.0008812
14,403.321,1.88411,1.33543,0.93062,0.8704,0.79706,0.85947,0.40274,1.73209,0.9855,0.91578,0.0008713,0.0008713,0.0008713
15,431.106,1.88751,1.29954,0.92964,0.91206,0.80578,0.88445,0.45869,1.60937,0.92005,0.90092,0.0008614,0.0008614,0.0008614
16,459.324,1.86318,1.27584,0.93593,0.87965,0.81092,0.88925,0.44727,1.6138,0.90691,0.90198,0.0008515,0.0008515,0.0008515
17,487.822,1.85271,1.23388,0.92744,0.90557,0.8218,0.88948,0.4375,1.65799,0.91818,0.90963,0.0008416,0.0008416,0.0008416
18,515.701,1.87963,1.22945,0.92302,0.90136,0.82096,0.8739,0.42898,1.69035,0.89068,0.91728,0.0008317,0.0008317,0.0008317
19,545.346,1.83387,1.18229,0.92075,0.90067,0.83707,0.89295,0.40665,1.72339,0.93782,0.91133,0.0008218,0.0008218,0.0008218
20,573.442,1.79661,1.15048,0.91965,0.92374,0.81821,0.89528,0.44622,1.64687,0.86301,0.90858,0.0008119,0.0008119,0.0008119
21,601.809,1.84601,1.16905,0.92006,0.91293,0.84592,0.89949,0.43446,1.69568,0.87216,0.90352,0.000802,0.000802,0.000802
22,630.404,1.79595,1.13331,0.91167,0.90242,0.83207,0.89461,0.44394,1.64322,0.86633,0.90214,0.0007921,0.0007921,0.0007921
23,658.523,1.76696,1.0952,0.91348,0.90223,0.87116,0.92317,0.46239,1.6253,0.8356,0.90219,0.0007822,0.0007822,0.0007822
24,686.479,1.76685,1.09383,0.90534,0.92428,0.87224,0.92269,0.46193,1.63927,0.86208,0.90137,0.0007723,0.0007723,0.0007723
25,714.323,1.73933,1.09173,0.90057,0.94174,0.82909,0.90815,0.45882,1.58287,0.83081,0.89573,0.0007624,0.0007624,0.0007624
26,742.705,1.74158,1.08375,0.9064,0.95915,0.82872,0.91109,0.46497,1.58629,0.82716,0.89268,0.0007525,0.0007525,0.0007525
27,771.006,1.71707,1.05135,0.89633,0.93296,0.84477,0.91733,0.48355,1.55317,0.80005,0.89059,0.0007426,0.0007426,0.0007426
28,798.11,1.72892,1.04229,0.90148,0.94607,0.86338,0.93115,0.48488,1.57935,0.79894,0.89399,0.0007327,0.0007327,0.0007327
29,826.804,1.69802,1.02909,0.89422,0.94111,0.87635,0.92211,0.48339,1.57024,0.76559,0.89364,0.0007228,0.0007228,0.0007228
30,854.592,1.72449,1.04306,0.89133,0.92957,0.88285,0.93241,0.47631,1.60315,0.79924,0.89195,0.0007129,0.0007129,0.0007129
31,882.943,1.70477,1.02867,0.90063,0.96245,0.87532,0.93259,0.49459,1.56104,0.76967,0.88817,0.000703,0.000703,0.000703
32,912.146,1.73599,1.02349,0.89343,0.92515,0.88268,0.92547,0.48747,1.55319,0.77175,0.8874,0.0006931,0.0006931,0.0006931
33,940.108,1.68784,1.00422,0.89646,0.93695,0.88861,0.93279,0.49819,1.50968,0.75064,0.88424,0.0006832,0.0006832,0.0006832
34,969.615,1.66632,0.98461,0.88381,0.9318,0.87479,0.93337,0.48834,1.57125,0.76237,0.89101,0.0006733,0.0006733,0.0006733
